key,de-DE,en-US,it-IT,es-ES
custom.data.type.gn250.name,GN250-Verknüpfung,GN250-Link,,
custom.data.type.gn250.edit.button|icon,edit,edit,,
custom.data.type.gn250.remove.button|icon,trash,trash,,
custom.data.type.gn250.config.option.mask.editor_style.value.inline,Eingebettet,Embedded,,
custom.data.type.gn250.setting.mask.editor_style,Editor-Stil,Editor-Style,,
custom.data.type.gn250.config.option.mask.editor_style.value.popover,Popover,Popover,,
custom.data.type.gn250.modal.form.url.placeholder,GN250-Verknüpfung,GN250-Link,,
custom.data.type.gn250.modal.form.text.label,Text,Text,,
custom.data.type.gn250.edit.modal.title|text,GN250-Verknüpfung,GN250-Link,,
custom.data.type.gn250.edit.no_valid_gn250,Keine valide GN250-Verknüpfung,No valid GN250-Link,,
custom.data.type.gn250.edit.no_gn250,Keine GN250-Verknüpfung gesetzt,No GN250-Link set,,
custom.data.type.gn250.modal.form.text.count,Anzahl Vorschläge,Count of suggestions,,
custom.data.type.gn250.modal.form.text.count_short,Vorschläge,Suggestions,,
custom.data.type.gn250.modal.form.text.searchbar,Suchbegriff eingeben,Enter searchterm,,
custom.data.type.gn250.modal.form.text.searchbar.placeholder,tippen ...,type ...,,
custom.data.type.gn250.modal.form.text.result.label,Gewählter Eintrag,Choosen entry,,
custom.data.type.gn250.modal.form.text.result.placeholder,noch leer,empty,,
custom.data.type.gn250.modal.form.text.uri.label,Zugehörige URI,Associated URI,,
custom.data.type.gn250.modal.form.text.uri.label.placeholder,noch leer,empty,,
custom.data.type.gn250.config.parameter.mask.show_infopopup.loading.label,Lade Informationen,loading information,,
custom.data.type.gn250.config.parameter.schema.mapbox_api_key.value.label,mapbox-token (für Kartenanzeige benötigt),mapbox-token (required for map display),,
custom.data.type.gn250.config.parameter.mask.infopopup.popup.info,Informationen über den Eintrag,Informations about the entry,,
custom.data.type.gn250.config.parameter.mask.infopopup.popup.oba_wert,OBA_WERT,OBA_VALUE,,
custom.data.type.gn250.config.parameter.mask.infopopup.popup.name,Name,Name,,
custom.data.type.gn250.config.parameter.mask.infopopup.popup.name2,Name2,Name2,,
custom.data.type.gn250.config.parameter.mask.infopopup.popup.gemeinde,Gemeinde,Municipality,,
custom.data.type.gn250.config.parameter.mask.infopopup.popup.verwaltungsgemeinde,Verwaltungsgemeinde,Management community,,
custom.data.type.gn250.config.parameter.mask.infopopup.popup.kreis,Kreis,District,,
custom.data.type.gn250.config.parameter.mask.infopopup.popup.bezirk,Reg. Bezirk,Province,,
custom.data.type.gn250.config.parameter.mask.infopopup.popup.bundesland,Bundesland,Federal state,,
custom.data.type.gn250.config.parameter.mask.infopopup.popup.quelle,Quelle,Source,,
custom.data.type.gn250.config.parameter.mask.editor_display.value.label,Editor-Ansicht,Editor-Display,,
custom.data.type.gn250.config.option.mask.editor_display.value.default,Standard,Default,,
custom.data.type.gn250.config.option.mask.editor_display.value.condensed,1 Zeile,One-liner,,
server.config.name.system.update_gn250,gn250-Update-Einstellungen,gn250-update-configuration,,
server.config.parameter.system.update_gn250.restrict_time.label,Beschränke Updates auf bestimmte Stunden?,Restrict updates to specific hours?,,
server.config.parameter.system.update_gn250.restrict_time.checkbox,Ja - beschränken,Yes - restrict,,
server.config.parameter.system.update_gn250.from_time.label,Stunde von (Zahl 0-24),Hour from (Int 0-24),,
server.config.parameter.system.update_gn250.to_time.label,Stunde bis (Zahl 0-24),Hour to (Int 0-24),,
server.config.parameter.system.update_gn250.default_language.label,Standard-Datensprache als Fallback für Update (ISO 639-1),Default-data-language (as fallback) for update (ISO 639-1),,
